sex,year,age,pop,pcnt
Male,1965,10-14,192262,0.05757066076812584
Male,1965,15-19,155046,0.046426754478029145
Male,1965,20-24,128692,0.03853535007214973
Male,1965,25-29,123992,0.03712798873392277
Male,1965,30-34,112472,0.03367845626235371
Male,1965,35-39,103171,0.030893378005577343
Male,1965,40-44,87400,0.026170932119369394
Male,1965,45-49,73243,0.021931780105480234
Male,1965,50-54,67940,0.020343857301944584
Male,1965,55-59,57213,0.017131779626378504
Male,1965,60-64,44788,0.013411255237555108
Male,1965,65-69,31640,0.009474236753510843
Male,1965,70-74,20285,0.006074111648071032
Male,1965,75-79,11822,0.0035399629235147024
Male,1965,80-84,5345,0.0016004992240049132
Male,1965,85-89,1775,5.315034841176278e-4
Male,1965,90-94,389,1.1648160863197591e-4
Male,1965,95-99,49,1.4672490547472544e-5
